LE_MET_level6 mls
9 7
9 6
9 0
9 4
9 5
9 5
9 5
9 5
9 4
9 4
9 4
9 0
9 0
9 5
9 0
9 0
9 0
9 3
9 0
9 6
9 5
9 0
9 1
9 0
9 5
9 0
9 0
9 0
9 0
9 6
9 5
9 5
9 0
9 0
10 0
10 0
10 7
10 7
10 6
10 0
10 4
10 5
10 5
10 5
10 5
10 4
10 4
10 4
10 0
10 0
10 5
10 0
10 0
10 0
10 3
10 0
10 6
10 5
10 0
10 1
10 0
10 5
10 0
10 0
10 0
10 0
10 6
10 5
10 5
10 0
10 0
11 0
11 0
11 7
11 7
11 6
11 0
11 4
11 5
11 5
11 5
11 5
11 4
11 4
11 4
11 0
11 0
11 5
11 0
11 0
11 0
11 3
11 0
11 6
11 5
11 0
11 1
11 0
11 5
11 0
11 0
11 0
11 0
11 6
11 5
11 5
11 0
11 0
12 0
12 0
12 7
12 7
12 6
12 0
12 4
12 5
12 5
12 5
12 5
12 4
12 4
12 4
12 0
12 0
12 5
12 0
12 0
12 0
12 3
12 0
12 6
12 5
12 0
12 1
12 0
12 5
12 0
12 0
12 0
12 0
12 6
12 5
12 5
12 0
12 0
13 0
13 0
13 7
13 7
13 6
13 0
13 4
13 5
13 5
13 5
13 5
13 4
13 4
13 4
13 0
13 0
13 5
13 0
13 0
13 0
13 3
13 0
13 6
13 5
13 0
13 1
13 0
13 5
13 0
13 0
13 0
13 0
13 6
13 5
13 5
13 0
13 0
14 0
14 0
14 7
14 7
14 6
14 0
14 4
14 5
14 5
14 5
14 5
14 4
14 4
14 4
14 0
14 0
14 5
14 0
14 0
14 0
14 3
14 0
14 6
14 5
14 0
14 1
14 0
14 5
14 0
14 0
14 0
14 0
14 6
14 5
14 5
14 0
14 0
15 0
15 0
15 7
15 7
15 6
15 0
15 4
15 5
15 5
15 5
15 5
15 4
15 4
15 4
15 0
15 0
15 5
15 0
15 0
15 0
15 3
15 0
15 6
15 5
15 0
15 1
15 0
15 5
15 0
15 0
15 0
15 0
15 6
15 5
15 5
15 0
15 0
16 0
16 0
16 7
16 7
16 6
16 0
16 4
16 5
16 5
16 5
16 5
16 4
16 4
16 4
16 0
16 0
16 5
16 0
16 0
16 0
16 3
16 0
16 6
16 5
16 0
16 1
16 0
16 5
16 0
16 0
16 0
16 0
16 6
16 5
16 5
16 0
16 0
17 0
17 0
17 7
17 7
17 6
17 0
17 4
17 5
17 5
17 5
17 5
17 4
17 4
17 4
17 0
17 0
17 5
17 0
17 0
17 0
17 3
17 0
17 6
17 5
17 0
17 1
17 0
17 5
17 0
17 0
17 0
17 0
17 6
17 5
17 5
17 0
17 0
18 0
18 0
18 7
18 7
18 6
18 0
18 4
18 5
18 5
18 5
18 5
18 4
18 4
18 4
18 0
18 0
18 5
18 0
18 0
18 0
18 3
18 0
18 6
18 5
18 0
18 1
18 0
18 5
18 0
18 0
18 0
18 0
18 6
18 5
18 5
18 0
18 0
